sku_id,avg_weekly_demand,std_weekly_demand,avg_lead_time,std_lead_time,safety_stock,reorder_point,SKU_segment,segment_multiplier,adjusted_safety_stock,adjusted_reorder_point
SKU0018,37.469613259668506,6.326781169032236,3.0,0.0,19.18455443700047,131.593394216006,AX,1.2,23.021465324400566,135.43030510340608
SKU0019,29.734806629834253,7.226172313610759,13.0,0.0,45.612961033710306,432.16544722155555,CX,0.8,36.49036882696824,423.0428550148135
SKU0020,31.016574585635357,5.340458795402423,3.0,0.0,16.193751568402593,109.24347532530867,AX,1.2,19.432501882083113,112.48222563898919
SKU0021,29.06353591160221,6.9763229712749,5.0,0.0,27.309884085061686,172.62756364307273,BX,1.0,27.309884085061686,172.62756364307273
SKU0022,27.124309392265193,5.77304033193034,13.0,0.0,36.440518199433676,389.05654029888115,BX,1.0,36.440518199433676,389.05654029888115
SKU0023,30.444751381215468,7.217130096896165,3.0,0.0,21.88433921194051,113.21859335558692,AX,1.2,26.26120705432861,117.59546119797501
SKU0024,34.248618784530386,5.956821623041271,11.0,0.0,34.58750336242304,411.32230999225726,BX,1.0,34.58750336242304,411.32230999225726
SKU0025,23.069060773480665,5.506801003046606,10.0,0.0,30.486506402090697,261.17711413689733,AX,1.2,36.583807682508834,267.2744154173155
SKU0026,26.066298342541437,6.418120305372555,10.0,0.0,35.53171172716747,296.19469515258186,CX,0.8,28.425369381733976,289.08835280714834
SKU0027,27.42817679558011,5.7188594538964965,3.0,0.0,17.341167266516074,99.6256976532564,AX,1.2,20.809400719819287,103.09393110655961
SKU0028,29.671270718232044,5.576931417165878,10.0,0.0,30.874759276644465,327.5874664589649,AX,1.2,37.04971113197335,333.7624183142938
SKU0029,23.226519337016576,6.038524845627397,6.0,0.0,25.89493106300173,165.25404708510118,AX,1.2,31.073917275602078,170.4330332977015
SKU0030,31.027624309392266,7.926554088279555,5.0,0.0,31.029709237404564,186.1678307843659,AX,1.2,37.235651084885475,192.3737726318468
SKU0031,27.113259668508288,6.921474142375789,6.0,0.0,29.681271561042674,192.3608295720924,AX,1.2,35.61752587325121,198.29708388430095
SKU0032,33.5,6.300969454495238,5.0,0.0,24.66610937227473,192.16610937227472,BX,1.0,24.66610937227473,192.16610937227472
SKU0033,27.671270718232044,7.019537675953192,10.0,0.0,38.86125178288972,315.5739589652102,BX,1.0,38.86125178288972,315.5739589652102
SKU0034,37.58011049723757,5.860846373124202,11.0,0.0,34.03023566342466,447.41145113303793,AX,1.2,40.83628279610959,454.21749826572284
SKU0035,29.685082872928177,8.33111503305194,13.0,0.0,52.58756764687158,438.4936449949379,AX,1.2,63.10508117624589,449.01115852431224
SKU0036,26.795580110497237,7.245759659417425,3.0,0.0,21.971151982292838,102.35789231378455,BX,1.0,21.971151982292838,102.35789231378455
SKU0037,30.433701657458563,6.666347627592533,5.0,0.0,26.09643815659063,178.26494644388345,BX,1.0,26.09643815659063,178.26494644388345
SKU0038,35.57734806629834,7.470780431841489,5.0,0.0,29.245513497385147,207.13225382887686,AX,1.2,35.09461619686218,212.98135652835387
SKU0039,33.9585635359116,7.218853902834387,11.0,0.0,41.91532824675203,415.45952714177963,AX,1.2,50.29839389610244,423.84259279113
SKU0040,29.640883977900554,5.666472058310146,5.0,0.0,22.182272197098523,170.38669208660127,AX,1.2,26.61872663651823,174.823146526021
