sku_id,date,actual_demand,forecast_demand
SKU0013,2024-10-22,33,32.48
SKU0010,2024-10-22,39,40.97
SKU0035,2024-10-22,29,27.36
SKU0002,2024-10-22,28,28.73
SKU0005,2024-10-22,30,30.45
SKU0028,2024-10-22,29,28.03
SKU0011,2024-10-22,25,25.51
SKU0039,2024-10-22,31,31.75
SKU0025,2024-10-22,22,24.22
SKU0026,2024-10-22,24,23.73
SKU0034,2024-10-22,34,34.15
SKU0021,2024-10-22,27,26.95
SKU0020,2024-10-22,28,29.35
SKU0019,2024-10-22,23,21.6
SKU0040,2024-10-22,28,27.65
SKU0024,2024-10-22,32,32.06
SKU0012,2024-10-22,25,24.84
SKU0008,2024-10-22,21,22.98
SKU0004,2024-10-22,39,39.35
SKU0009,2024-10-22,24,24.3
SKU0023,2024-10-22,40,42.31
SKU0006,2024-10-22,24,24.92
SKU0015,2024-10-22,25,26.37
SKU0030,2024-10-22,26,28.38
SKU0022,2024-10-22,21,22.68
SKU0029,2024-10-22,20,22.82
SKU0016,2024-10-22,28,30.46
SKU0007,2024-10-22,32,31.13
SKU0018,2024-10-22,33,32.99
SKU0003,2024-10-22,27,25.55
SKU0014,2024-10-22,24,24.53
SKU0009,2024-10-23,23,26.18
SKU0019,2024-10-23,33,28.06
SKU0035,2024-10-23,41,42.03
SKU0036,2024-10-23,26,24.14
SKU0013,2024-10-23,38,34.45
SKU0018,2024-10-23,38,37.71
SKU0039,2024-10-23,38,37.03
SKU0010,2024-10-23,35,35.47
SKU0021,2024-10-23,28,26.66
SKU0001,2024-10-23,45,42.57
SKU0040,2024-10-23,43,47.4
SKU0024,2024-10-23,34,34.18
SKU0033,2024-10-23,44,41.78
SKU0038,2024-10-23,47,45.29
SKU0014,2024-10-23,27,27.85
SKU0030,2024-10-23,31,32.85
SKU0006,2024-10-23,43,41.74
SKU0028,2024-10-23,29,28.55
SKU0003,2024-10-23,28,29.32
SKU0007,2024-10-23,32,33.83
SKU0029,2024-10-23,29,31.29
SKU0017,2024-10-23,39,37.09
SKU0005,2024-10-23,45,45.25
SKU0015,2024-10-23,31,29.54
SKU0008,2024-10-23,39,37.62
SKU0011,2024-10-23,23,26.16
SKU0037,2024-10-23,45,46.8
SKU0023,2024-10-23,28,31.19
SKU0032,2024-10-23,34,32.38
SKU0012,2024-10-23,29,32.62
SKU0027,2024-10-23,27,29.11
SKU0016,2024-10-23,44,40.15
SKU0004,2024-10-23,41,38.97
SKU0025,2024-10-23,27,28.19
SKU0002,2024-10-23,31,31.33
SKU0034,2024-10-23,44,43.81
SKU0020,2024-10-23,34,34.31
SKU0026,2024-10-23,29,31.61
SKU0031,2024-10-23,28,28.44
SKU0022,2024-10-23,39,39.34
SKU0003,2024-10-24,26,27.49
SKU0011,2024-10-24,20,23.6
SKU0012,2024-10-24,26,27.29
SKU0014,2024-10-24,29,27.8
SKU0028,2024-10-24,30,29.12
SKU0030,2024-10-24,33,30.72
SKU0001,2024-10-24,40,42.58
SKU0031,2024-10-24,26,27.25
SKU0022,2024-10-24,23,24.84
SKU0015,2024-10-24,26,26.75
SKU0018,2024-10-24,35,34.91
SKU0023,2024-10-24,27,29.15
SKU0024,2024-10-24,33,32.59
SKU0019,2024-10-24,28,24.67
SKU0004,2024-10-24,28,30.8
SKU0040,2024-10-24,28,30.02
SKU0039,2024-10-24,27,29.5
SKU0009,2024-10-24,21,21.39
SKU0020,2024-10-24,29,31.06
SKU0021,2024-10-24,26,26.17
SKU0034,2024-10-24,40,38.8
SKU0008,2024-10-24,23,24.02
SKU0006,2024-10-24,26,26.61
SKU0025,2024-10-24,18,21.2
SKU0026,2024-10-24,29,28.23
SKU0007,2024-10-24,28,29.3
SKU0033,2024-10-24,29,30.24
SKU0035,2024-10-24,26,27.52
SKU0037,2024-10-24,28,26.36
SKU0010,2024-10-24,30,31.08
SKU0032,2024-10-24,29,29.25
SKU0027,2024-10-24,23,24.99
SKU0017,2024-10-24,33,37.3
SKU0002,2024-10-24,26,25.87
SKU0005,2024-10-24,31,29.92
SKU0016,2024-10-24,25,25.53
SKU0038,2024-10-24,32,31.99
SKU0036,2024-10-24,23,22.14
SKU0029,2024-10-24,22,25.22
SKU0013,2024-10-24,38,34.3
SKU0031,2024-10-25,27,26.76
SKU0036,2024-10-25,27,21.05
SKU0033,2024-10-25,29,26.04
SKU0023,2024-10-25,31,28.76
SKU0024,2024-10-25,33,33.13
SKU0035,2024-10-25,29,28.32
SKU0019,2024-10-25,28,25.75
SKU0009,2024-10-25,27,25.16
SKU0020,2024-10-25,35,30.94
SKU0013,2024-10-25,37,36.52
SKU0017,2024-10-25,29,31.55
SKU0021,2024-10-25,31,28.35
SKU0018,2024-10-25,36,35.72
SKU0002,2024-10-25,29,27.47
SKU0034,2024-10-25,46,44.79
SKU0039,2024-10-25,34,31.25
SKU0032,2024-10-25,38,33.28
SKU0004,2024-10-25,30,29.78
SKU0040,2024-10-25,28,27.32
SKU0016,2024-10-25,33,26.84
SKU0015,2024-10-25,34,27.91
SKU0012,2024-10-25,22,25.7
SKU0005,2024-10-25,34,32.87
SKU0001,2024-10-25,30,29.77
SKU0030,2024-10-25,31,28.79
SKU0028,2024-10-25,32,30.18
SKU0038,2024-10-25,34,33.26
SKU0029,2024-10-25,23,21.39
SKU0026,2024-10-25,29,28.33
SKU0025,2024-10-25,21,21.25
SKU0007,2024-10-25,33,31.91
SKU0014,2024-10-25,33,28.94
SKU0003,2024-10-25,28,28.08
SKU0006,2024-10-25,27,26.57
SKU0010,2024-10-25,41,40.96
SKU0011,2024-10-25,18,19.58
SKU0008,2024-10-25,28,24.12
SKU0022,2024-10-25,25,22.36
SKU0037,2024-10-25,30,27.35
SKU0027,2024-10-25,33,28.89
SKU0016,2024-10-26,34,28.4
SKU0012,2024-10-26,24,24.77
SKU0018,2024-10-26,38,35.62
SKU0033,2024-10-26,27,27.06
SKU0037,2024-10-26,32,28.86
SKU0032,2024-10-26,38,36.1
SKU0009,2024-10-26,37,35.7
SKU0030,2024-10-26,32,32.82
SKU0020,2024-10-26,33,33.01
SKU0019,2024-10-26,34,30.51
SKU0035,2024-10-26,29,27.8
SKU0004,2024-10-26,30,28.48
SKU0029,2024-10-26,34,33.29
SKU0023,2024-10-26,31,30.16
SKU0014,2024-10-26,31,29.75
SKU0034,2024-10-26,37,36.91
SKU0001,2024-10-26,34,33.18
SKU0002,2024-10-26,34,30.43
SKU0011,2024-10-26,25,22.77
SKU0027,2024-10-26,27,28.13
SKU0022,2024-10-26,27,24.07
SKU0006,2024-10-26,32,29.61
SKU0010,2024-10-26,36,33.94
SKU0008,2024-10-26,29,27.82
SKU0038,2024-10-26,34,33.15
SKU0024,2024-10-26,37,35.37
SKU0005,2024-10-26,33,32.63
SKU0007,2024-10-26,32,31.6
SKU0025,2024-10-26,25,23.34
SKU0003,2024-10-26,26,26.51
SKU0028,2024-10-26,29,29.92
SKU0017,2024-10-26,31,31.85
SKU0039,2024-10-26,44,42.21
SKU0013,2024-10-26,38,37.17
SKU0040,2024-10-26,31,28.89
SKU0026,2024-10-26,29,29.19
SKU0036,2024-10-26,29,26.02
SKU0031,2024-10-26,22,25.34
SKU0021,2024-10-26,31,29.25
SKU0015,2024-10-26,30,30.3
SKU0008,2024-10-27,30,28.13
SKU0020,2024-10-27,40,36.96
SKU0005,2024-10-27,43,37.52
SKU0016,2024-10-27,36,29.05
SKU0035,2024-10-27,34,29.08
SKU0010,2024-10-27,36,33.28
SKU0029,2024-10-27,38,36.41
SKU0037,2024-10-27,41,31.18
SKU0027,2024-10-27,40,38.71
SKU0007,2024-10-27,42,33.11
SKU0033,2024-10-27,39,37.93
SKU0038,2024-10-27,39,35.62
SKU0017,2024-10-27,36,32.6
SKU0013,2024-10-27,44,38.64
SKU0032,2024-10-27,48,46.48
SKU0031,2024-10-27,32,29.21
SKU0002,2024-10-27,39,29.53
SKU0040,2024-10-27,37,30.98
SKU0026,2024-10-27,42,38.08
SKU0036,2024-10-27,29,27.28
SKU0015,2024-10-27,35,30.45
SKU0023,2024-10-27,38,30.71
SKU0019,2024-10-27,37,29.98
SKU0004,2024-10-27,36,30.13
SKU0024,2024-10-27,40,37.86
SKU0012,2024-10-27,31,26.3
SKU0022,2024-10-27,36,27.66
SKU0006,2024-10-27,33,29.43
SKU0034,2024-10-27,42,41.24
SKU0011,2024-10-27,33,23.69
SKU0039,2024-10-27,38,33.97
SKU0003,2024-10-27,26,25.85
SKU0025,2024-10-27,32,24.66
SKU0009,2024-10-27,34,28.89
SKU0014,2024-10-27,32,32.05
SKU0018,2024-10-27,40,39.35
SKU0021,2024-10-27,35,30.89
SKU0030,2024-10-27,41,36.25
SKU0028,2024-10-27,34,32.22
SKU0001,2024-10-27,37,34.73
SKU0021,2024-10-28,30,30.23
SKU0023,2024-10-28,32,32.34
SKU0017,2024-10-28,26,27.48
SKU0016,2024-10-28,28,30.79
SKU0015,2024-10-28,27,30.65
SKU0034,2024-10-28,41,40.1
SKU0040,2024-10-28,29,29.34
SKU0007,2024-10-28,30,31.27
SKU0003,2024-10-28,22,24.37
SKU0002,2024-10-28,33,32.29
SKU0018,2024-10-28,36,36.2
SKU0038,2024-10-28,39,35.78
SKU0022,2024-10-28,30,27.11
SKU0035,2024-10-28,32,30.36
SKU0013,2024-10-28,35,35.63
SKU0011,2024-10-28,18,20.04
SKU0004,2024-10-28,30,29.79
SKU0009,2024-10-28,25,26.05
SKU0019,2024-10-28,33,30.92
SKU0008,2024-10-28,26,28.63
SKU0005,2024-10-28,33,33.82
SKU0027,2024-10-28,36,34.18
SKU0024,2024-10-28,43,41.49
SKU0014,2024-10-28,27,28.93
SKU0036,2024-10-28,24,26.33
SKU0026,2024-10-28,24,23.74
SKU0012,2024-10-28,27,25.3
SKU0025,2024-10-28,28,29.12
SKU0039,2024-10-28,35,35.39
SKU0033,2024-10-28,24,25.04
SKU0031,2024-10-28,29,28.49
SKU0010,2024-10-28,28,30.31
SKU0032,2024-10-28,31,33.14
SKU0037,2024-10-28,30,30.51
SKU0006,2024-10-28,27,27.86
SKU0029,2024-10-28,24,24.66
SKU0030,2024-10-28,30,31.21
SKU0028,2024-10-28,29,29.48
SKU0001,2024-10-28,30,31.35
SKU0020,2024-10-28,30,32.04
SKU0038,2024-10-29,34,34.16
SKU0004,2024-10-29,30,29.63
SKU0035,2024-10-29,34,31.99
SKU0013,2024-10-29,36,35.29
SKU0010,2024-10-29,30,30.85
SKU0017,2024-10-29,27,28.91
SKU0001,2024-10-29,29,31.31
SKU0037,2024-10-29,29,29.14
SKU0023,2024-10-29,28,29.45
SKU0008,2024-10-29,27,28.39
SKU0006,2024-10-29,29,29.9
SKU0005,2024-10-29,36,35.28
SKU0039,2024-10-29,30,31.42
SKU0031,2024-10-29,27,26.96
SKU0015,2024-10-29,23,24.98
SKU0002,2024-10-29,32,30.79
SKU0025,2024-10-29,25,27.24
SKU0027,2024-10-29,27,28.57
SKU0003,2024-10-29,24,24.04
SKU0021,2024-10-29,29,29.41
SKU0028,2024-10-29,32,30.0
SKU0014,2024-10-29,24,26.8
SKU0012,2024-10-29,24,24.51
SKU0033,2024-10-29,24,23.93
SKU0040,2024-10-29,28,29.21
SKU0036,2024-10-29,26,26.03
SKU0024,2024-10-29,37,39.59
SKU0026,2024-10-29,23,23.22
SKU0018,2024-10-29,39,37.7
SKU0007,2024-10-29,36,34.97
SKU0016,2024-10-29,30,30.02
SKU0020,2024-10-29,32,31.99
SKU0034,2024-10-29,39,38.87
SKU0029,2024-10-29,22,24.09
SKU0022,2024-10-29,36,34.74
SKU0032,2024-10-29,35,33.78
SKU0011,2024-10-29,26,24.32
SKU0019,2024-10-29,29,30.41
SKU0009,2024-10-29,21,23.42
SKU0030,2024-10-29,32,32.18
SKU0010,2024-10-30,30,29.54
SKU0031,2024-10-30,28,28.63
SKU0038,2024-10-30,43,42.54
SKU0017,2024-10-30,25,24.7
SKU0020,2024-10-30,35,37.58
SKU0016,2024-10-30,27,28.99
SKU0032,2024-10-30,32,31.95
SKU0013,2024-10-30,34,34.33
SKU0036,2024-10-30,25,26.74
SKU0012,2024-10-30,20,23.46
SKU0025,2024-10-30,26,28.92
SKU0027,2024-10-30,26,27.71
SKU0026,2024-10-30,26,23.98
SKU0002,2024-10-30,31,30.8
SKU0007,2024-10-30,32,32.57
SKU0015,2024-10-30,27,27.42
SKU0005,2024-10-30,38,36.5
SKU0034,2024-10-30,37,36.92
SKU0022,2024-10-30,26,27.78
SKU0008,2024-10-30,28,28.46
SKU0011,2024-10-30,25,25.12
SKU0023,2024-10-30,46,46.38
SKU0037,2024-10-30,28,27.28
SKU0040,2024-10-30,30,29.8
SKU0004,2024-10-30,39,37.86
SKU0024,2024-10-30,39,37.8
SKU0003,2024-10-30,24,23.86
SKU0014,2024-10-30,24,27.14
SKU0035,2024-10-30,29,31.37
SKU0033,2024-10-30,24,24.41
SKU0028,2024-10-30,31,30.59
SKU0009,2024-10-30,24,24.05
SKU0039,2024-10-30,33,32.66
SKU0030,2024-10-30,27,29.4
SKU0019,2024-10-30,28,28.86
SKU0021,2024-10-30,31,30.45
SKU0001,2024-10-30,28,29.2
SKU0029,2024-10-30,23,24.25
SKU0006,2024-10-30,26,28.53
SKU0018,2024-10-30,33,33.46
SKU0015,2024-10-31,32,28.36
SKU0039,2024-10-31,46,41.85
SKU0008,2024-10-31,30,28.54
SKU0037,2024-10-31,35,29.79
SKU0035,2024-10-31,27,29.41
SKU0002,2024-10-31,37,30.96
SKU0009,2024-10-31,29,26.08
SKU0014,2024-10-31,32,27.85
SKU0021,2024-10-31,36,32.03
SKU0036,2024-10-31,29,26.43
SKU0005,2024-10-31,51,44.91
SKU0028,2024-10-31,32,30.86
SKU0011,2024-10-31,29,24.03
SKU0032,2024-10-31,35,32.5
SKU0029,2024-10-31,22,22.52
SKU0020,2024-10-31,36,33.89
SKU0018,2024-10-31,40,39.31
SKU0016,2024-10-31,33,28.7
SKU0030,2024-10-31,33,30.88
SKU0007,2024-10-31,39,33.41
SKU0040,2024-10-31,29,28.65
SKU0012,2024-10-31,31,25.99
SKU0033,2024-10-31,27,24.57
SKU0024,2024-10-31,37,35.89
SKU0026,2024-10-31,36,32.86
SKU0034,2024-10-31,39,38.31
SKU0004,2024-10-31,31,29.64
SKU0003,2024-10-31,30,25.49
SKU0019,2024-10-31,29,29.3
SKU0022,2024-10-31,31,30.39
SKU0023,2024-10-31,44,43.92
SKU0001,2024-10-31,37,30.73
SKU0031,2024-10-31,29,28.43
SKU0027,2024-10-31,33,31.68
SKU0010,2024-10-31,32,29.83
SKU0017,2024-10-31,27,26.14
SKU0025,2024-10-31,27,27.84
SKU0013,2024-10-31,45,42.48
SKU0006,2024-10-31,31,27.56
SKU0038,2024-10-31,38,35.24
SKU0038,2024-11-01,35,35.53
SKU0013,2024-11-01,39,37.39
SKU0031,2024-11-01,33,29.82
SKU0036,2024-11-01,30,29.62
SKU0028,2024-11-01,42,39.12
SKU0006,2024-11-01,41,39.43
SKU0011,2024-11-01,28,26.89
SKU0019,2024-11-01,32,29.88
SKU0029,2024-11-01,31,29.76
SKU0022,2024-11-01,32,32.58
SKU0004,2024-11-01,31,30.1
SKU0034,2024-11-01,48,43.14
SKU0024,2024-11-01,47,43.6
SKU0026,2024-11-01,28,27.41
SKU0020,2024-11-01,29,31.3
SKU0001,2024-11-01,43,39.61
SKU0014,2024-11-01,31,28.53
SKU0033,2024-11-01,33,27.98
SKU0012,2024-11-01,23,24.8
SKU0040,2024-11-01,43,42.02
SKU0017,2024-11-01,38,36.92
SKU0018,2024-11-01,41,40.41
SKU0007,2024-11-01,45,42.92
SKU0030,2024-11-01,34,33.21
SKU0016,2024-11-01,41,38.82
SKU0010,2024-11-01,31,31.43
SKU0027,2024-11-01,28,28.26
SKU0032,2024-11-01,39,37.32
SKU0025,2024-11-01,34,32.32
SKU0008,2024-11-01,23,26.43
SKU0037,2024-11-01,32,30.36
SKU0002,2024-11-01,51,47.03
SKU0015,2024-11-01,38,36.82
SKU0035,2024-11-01,43,41.31
SKU0023,2024-11-01,34,33.12
SKU0003,2024-11-01,31,27.73
SKU0005,2024-11-01,36,36.04
SKU0009,2024-11-01,25,26.06
SKU0039,2024-11-01,35,35.29
SKU0021,2024-11-01,43,39.36
SKU0018,2024-11-02,37,36.7
SKU0037,2024-11-02,30,29.19
SKU0026,2024-11-02,30,27.61
SKU0005,2024-11-02,37,36.02
SKU0030,2024-11-02,33,31.69
SKU0002,2024-11-02,38,31.55
SKU0038,2024-11-02,51,46.98
SKU0015,2024-11-02,30,29.08
SKU0012,2024-11-02,27,22.99
SKU0040,2024-11-02,34,30.88
SKU0017,2024-11-02,28,27.7
SKU0022,2024-11-02,26,28.44
SKU0025,2024-11-02,30,30.48
SKU0031,2024-11-02,27,29.15
SKU0016,2024-11-02,29,28.91
SKU0007,2024-11-02,37,35.81
SKU0033,2024-11-02,29,27.33
SKU0021,2024-11-02,33,31.13
SKU0020,2024-11-02,38,37.61
SKU0001,2024-11-02,34,31.64
SKU0023,2024-11-02,32,33.56
SKU0036,2024-11-02,25,26.3
SKU0009,2024-11-02,24,24.44
SKU0006,2024-11-02,31,28.37
SKU0014,2024-11-02,40,38.43
SKU0024,2024-11-02,35,35.47
SKU0029,2024-11-02,28,26.7
SKU0011,2024-11-02,25,26.27
SKU0032,2024-11-02,36,34.5
SKU0028,2024-11-02,27,28.48
SKU0008,2024-11-02,31,26.99
SKU0034,2024-11-02,49,44.05
SKU0003,2024-11-02,26,26.22
SKU0039,2024-11-02,44,44.04
SKU0004,2024-11-02,34,30.98
SKU0010,2024-11-02,42,40.27
SKU0035,2024-11-02,26,25.72
SKU0027,2024-11-02,33,30.68
SKU0019,2024-11-02,32,30.05
SKU0013,2024-11-02,38,37.77
SKU0031,2024-11-03,33,30.92
SKU0029,2024-11-03,27,26.62
SKU0028,2024-11-03,34,30.95
SKU0016,2024-11-03,29,29.83
SKU0038,2024-11-03,34,33.92
SKU0027,2024-11-03,30,30.86
SKU0035,2024-11-03,42,39.42
SKU0022,2024-11-03,33,31.47
SKU0006,2024-11-03,32,31.5
SKU0009,2024-11-03,27,27.14
SKU0039,2024-11-03,34,35.5
SKU0011,2024-11-03,26,27.49
SKU0021,2024-11-03,31,32.7
SKU0010,2024-11-03,42,40.1
SKU0020,2024-11-03,40,39.39
SKU0019,2024-11-03,34,30.79
SKU0026,2024-11-03,26,28.06
SKU0005,2024-11-03,37,36.37
SKU0018,2024-11-03,41,40.53
SKU0002,2024-11-03,36,34.93
SKU0012,2024-11-03,31,28.29
SKU0017,2024-11-03,32,29.33
SKU0030,2024-11-03,33,33.12
SKU0008,2024-11-03,28,27.6
SKU0034,2024-11-03,38,38.01
SKU0024,2024-11-03,35,35.49
SKU0036,2024-11-03,40,37.79
SKU0014,2024-11-03,32,32.99
SKU0032,2024-11-03,35,36.04
SKU0015,2024-11-03,34,33.47
SKU0023,2024-11-03,36,35.35
SKU0001,2024-11-03,34,33.96
SKU0040,2024-11-03,31,30.98
SKU0013,2024-11-03,40,39.15
SKU0004,2024-11-03,29,30.42
SKU0025,2024-11-03,27,29.75
SKU0003,2024-11-03,32,30.43
SKU0037,2024-11-03,32,30.84
SKU0007,2024-11-03,36,35.72
SKU0033,2024-11-03,30,29.67
SKU0021,2024-11-04,34,32.3
SKU0035,2024-11-04,33,33.48
SKU0003,2024-11-04,45,40.71
SKU0025,2024-11-04,25,28.7
SKU0032,2024-11-04,34,33.99
SKU0013,2024-11-04,35,36.1
SKU0031,2024-11-04,44,42.99
SKU0006,2024-11-04,40,41.74
SKU0008,2024-11-04,30,27.31
SKU0001,2024-11-04,44,41.92
SKU0012,2024-11-04,39,38.35
SKU0028,2024-11-04,30,31.78
SKU0018,2024-11-04,42,37.42
SKU0037,2024-11-04,46,44.25
SKU0038,2024-11-04,39,36.42
SKU0034,2024-11-04,47,44.79
SKU0010,2024-11-04,37,35.43
SKU0005,2024-11-04,34,34.28
SKU0039,2024-11-04,36,36.16
SKU0040,2024-11-04,39,42.82
SKU0022,2024-11-04,31,30.45
SKU0002,2024-11-04,36,32.09
SKU0011,2024-11-04,30,30.04
SKU0029,2024-11-04,29,29.05
SKU0004,2024-11-04,34,30.53
SKU0033,2024-11-04,36,32.9
SKU0030,2024-11-04,45,42.33
SKU0027,2024-11-04,34,32.37
SKU0036,2024-11-04,40,39.05
SKU0019,2024-11-04,42,37.46
SKU0017,2024-11-04,40,39.54
SKU0016,2024-11-04,48,46.37
SKU0026,2024-11-04,29,28.09
SKU0020,2024-11-04,34,33.94
SKU0014,2024-11-04,31,33.47
SKU0009,2024-11-04,42,40.96
SKU0015,2024-11-04,26,30.91
SKU0024,2024-11-04,52,45.81
SKU0007,2024-11-04,46,45.45
SKU0023,2024-11-04,34,35.08
SKU0013,2024-11-05,39,36.97
SKU0007,2024-11-05,36,35.62
SKU0010,2024-11-05,31,31.97
SKU0004,2024-11-05,34,30.74
SKU0008,2024-11-05,28,28.9
SKU0025,2024-11-05,24,27.44
SKU0012,2024-11-05,36,34.65
SKU0031,2024-11-05,28,27.46
SKU0026,2024-11-05,27,28.81
SKU0015,2024-11-05,26,26.93
SKU0027,2024-11-05,28,29.64
SKU0001,2024-11-05,36,33.56
SKU0022,2024-11-05,25,26.48
SKU0032,2024-11-05,35,34.49
SKU0029,2024-11-05,26,26.65
SKU0033,2024-11-05,32,30.71
SKU0030,2024-11-05,31,33.32
SKU0036,2024-11-05,26,25.48
SKU0019,2024-11-05,29,30.5
SKU0016,2024-11-05,42,45.02
SKU0024,2024-11-05,37,33.63
SKU0014,2024-11-05,24,26.37
SKU0009,2024-11-05,21,21.27
SKU0023,2024-11-05,28,30.77
SKU0020,2024-11-05,28,29.36
SKU0039,2024-11-05,31,32.92
SKU0017,2024-11-05,26,27.04
SKU0040,2024-11-05,34,33.4
SKU0021,2024-11-05,30,31.26
SKU0035,2024-11-05,33,29.46
SKU0005,2024-11-05,34,34.44
SKU0006,2024-11-05,32,35.02
SKU0002,2024-11-05,33,32.44
SKU0028,2024-11-05,30,28.89
SKU0018,2024-11-05,41,40.67
SKU0037,2024-11-05,33,31.08
SKU0038,2024-11-05,36,34.23
SKU0011,2024-11-05,27,27.54
SKU0034,2024-11-05,37,36.91
SKU0003,2024-11-05,36,37.32
SKU0005,2024-11-06,35,35.44
SKU0018,2024-11-06,34,35.1
SKU0036,2024-11-06,28,26.84
SKU0023,2024-11-06,30,30.95
SKU0038,2024-11-06,33,34.28
SKU0040,2024-11-06,34,32.4
SKU0029,2024-11-06,22,24.61
SKU0033,2024-11-06,27,29.4
SKU0030,2024-11-06,28,29.28
SKU0019,2024-11-06,31,31.93
SKU0024,2024-11-06,35,33.88
SKU0014,2024-11-06,26,26.21
SKU0009,2024-11-06,20,21.33
SKU0039,2024-11-06,35,33.85
SKU0003,2024-11-06,26,27.96
SKU0021,2024-11-06,35,33.45
SKU0035,2024-11-06,27,28.9
SKU0001,2024-11-06,43,41.36
SKU0006,2024-11-06,27,29.32
SKU0028,2024-11-06,41,38.06
SKU0037,2024-11-06,28,28.97
SKU0017,2024-11-06,34,31.01
SKU0010,2024-11-06,31,30.87
SKU0008,2024-11-06,31,29.22
SKU0031,2024-11-06,25,25.5
SKU0027,2024-11-06,26,27.26
SKU0025,2024-11-06,28,27.43
SKU0002,2024-11-06,34,33.63
SKU0011,2024-11-06,22,24.27
SKU0013,2024-11-06,39,38.27
SKU0016,2024-11-06,30,27.27
SKU0012,2024-11-06,32,32.89
SKU0020,2024-11-06,32,31.14
SKU0026,2024-11-06,26,26.62
SKU0034,2024-11-06,44,42.76
SKU0007,2024-11-06,32,33.56
SKU0022,2024-11-06,29,29.03
SKU0015,2024-11-06,26,27.49
SKU0004,2024-11-06,31,29.7
SKU0032,2024-11-06,36,33.86
SKU0035,2024-11-07,45,41.6
SKU0028,2024-11-07,45,46.57
SKU0005,2024-11-07,56,48.72
SKU0026,2024-11-07,39,37.12
SKU0024,2024-11-07,49,48.8
SKU0016,2024-11-07,50,49.75
SKU0012,2024-11-07,38,40.57
SKU0025,2024-11-07,35,32.84
SKU0034,2024-11-07,42,41.13
SKU0003,2024-11-07,45,46.39
SKU0018,2024-11-07,44,42.33
SKU0001,2024-11-07,48,46.55
SKU0014,2024-11-07,39,37.67
SKU0008,2024-11-07,47,45.22
SKU0009,2024-11-07,44,41.84
SKU0020,2024-11-07,42,41.02
SKU0010,2024-11-07,43,40.42
SKU0002,2024-11-07,49,45.77
SKU0039,2024-11-07,55,49.08
SKU0038,2024-11-07,53,47.91
SKU0004,2024-11-07,34,30.82
SKU0027,2024-11-07,41,40.17
SKU0036,2024-11-07,42,43.01
SKU0022,2024-11-07,33,30.75
SKU0013,2024-11-07,51,43.71
SKU0029,2024-11-07,30,28.23
SKU0015,2024-11-07,42,39.38
SKU0011,2024-11-07,36,33.85
SKU0032,2024-11-07,49,43.95
SKU0031,2024-11-07,28,27.59
SKU0007,2024-11-07,46,43.07
SKU0021,2024-11-07,39,36.32
SKU0019,2024-11-07,54,48.4
SKU0040,2024-11-07,47,44.13
SKU0033,2024-11-07,43,42.43
SKU0037,2024-11-07,31,29.79
SKU0017,2024-11-07,39,39.62
SKU0023,2024-11-07,45,41.87
