date,sku_id,units_sold,selling_price,gross_revenue,promo_flag,discount_pct,month,week_of_year,day_of_week,is_weekend,is_festival_month,is_payday_period,season_tag,holiday_flag,weather_index,campaign_intensity,platform_traffic_source,traffic_index,competitor_price_index,competitor_stockout_flag,bundle_offer_flag,stock_visibility_score,rating_score,review_volume,product_visibility_rank
3/1/24,SKU0001,21,1019.22,21403.62,0,0.0162,3,9,4,0,0,1,summer,0,1.0487131044265865,0,paid,0.9585586247210478,1.0282146606134561,0,0,0.3562198951824665,4.99,220,112
3/2/24,SKU0001,31,944.52,29280.12,0,0.0883,3,9,5,1,0,1,summer,1,0.8250869533010903,0,paid,1.0902020659087217,0.998760053,0,0,0.39394233587144767,4.99,220,21
3/3/24,SKU0001,28,994.97,27859.16,0,0.0396,3,9,6,1,0,1,summer,0,0.9843140347874011,0,organic,1.0610399280725749,1.0150247287134913,0,0,0.3428630853129299,4.99,220,23
3/4/24,SKU0001,36,836.26,30105.36,1,0.1928,3,10,0,0,0,1,summer,0,1.1569025426512496,2,affiliate,1.0241651068827442,0.9803077826499258,0,0,0.33902185645159477,4.99,220,97
3/5/24,SKU0001,32,968.35,30987.2,0,0.0653,3,10,1,0,0,1,summer,0,1.0048039360543999,2,affiliate,1.0140974714041224,0.9935245967959866,0,0,0.3947253488283149,4.99,220,4
3/6/24,SKU0001,26,998.91,25971.66,0,0.0358,3,10,2,0,0,1,summer,0,0.5722946053409919,0,affiliate,0.9786350646447874,0.999624042,0,0,0.37832677532084386,4.99,220,94
3/7/24,SKU0001,31,1025.95,31804.45,0,0.0097,3,10,3,0,0,1,summer,0,0.662310489,1,affiliate,1.006230771869288,1.0045904355510127,1,1,0.42145470496604764,4.99,220,18
3/8/24,SKU0001,29,942.24,27324.96,0,0.0905,3,10,4,0,0,0,summer,0,0.8797621644145576,0,affiliate,0.9703473421318473,0.9992256149846136,0,1,0.37055744330298873,4.99,220,2
3/9/24,SKU0001,27,1029.47,27795.69,0,0.0063,3,10,5,1,0,0,summer,0,1.1999862488948332,0,organic,1.0642055063632119,0.9996182844010641,0,0,0.44917490890310086,4.99,220,55
3/10/24,SKU0001,29,1026.88,29779.52,0,0.0088,3,10,6,1,0,0,summer,0,1.0298627891745031,1,paid,1.0859404036145008,0.9955649732403548,0,0,0.36909008773200747,4.99,220,1
3/11/24,SKU0001,20,948.15,18963,0,0.0848,3,11,0,0,0,0,summer,0,1.0211909686018326,0,paid,1.077527010381999,1.0101251381055987,0,0,0.3714149052528958,4.99,220,67
3/12/24,SKU0001,29,1026.99,29782.71,0,0.0087,3,11,1,0,0,0,summer,0,0.8026049224644641,0,organic,0.9734376111558961,1.0081654523492614,1,0,0.42530941864338484,4.99,220,1
3/13/24,SKU0001,24,991.87,23804.88,0,0.0426,3,11,2,0,0,0,summer,0,1.0219647477202367,0,affiliate,1.037045846798432,0.9921874099911548,0,0,0.42139409085999735,4.99,220,57
3/14/24,SKU0001,22,976.95,21492.9,0,0.057,3,11,3,0,0,0,summer,0,0.6587241532325683,0,organic,1.0263580226026707,0.9834403248732101,0,0,0.3804467717103243,4.99,220,96
3/15/24,SKU0001,39,634.03,24727.17,1,0.388,3,11,4,0,0,0,summer,0,1.0512748274930273,0,paid,0.9650907774285452,0.9847702069545745,0,1,0.34856943163929544,4.99,220,10
3/16/24,SKU0001,24,1034.34,24824.16,0,0.0016,3,11,5,1,0,0,summer,0,1.176886055742799,0,organic,1.0573311112538923,1.0340578836195966,0,0,0.33758338139134586,4.99,220,4
3/17/24,SKU0001,24,974.77,23394.48,0,0.0591,3,11,6,1,0,0,summer,0,0.8773619009500488,0,organic,1.0908913066910286,1.0066301016642873,0,0,0.2840099538647453,4.99,220,100
3/18/24,SKU0001,22,1028.64,22630.08,0,0.0071,3,12,0,0,0,0,summer,0,1.1626594116543194,0,affiliate,0.9811488068123845,1.0184395635955297,0,0,0.4143692232547205,4.99,220,45
3/19/24,SKU0001,22,1007.61,22167.42,0,0.0274,3,12,1,0,0,0,summer,0,0.892015693,0,affiliate,1.013246285,1.016489466515379,0,1,0.494580834,4.99,220,74
3/20/24,SKU0001,37,631.75,23374.75,1,0.3902,3,12,2,0,0,0,summer,0,1.0221062129879113,0,affiliate,0.9952496229634132,1.0019112258223213,1,0,0.27600691953398426,4.99,220,54
3/21/24,SKU0001,27,985.24,26601.48,0,0.049,3,12,3,0,0,0,summer,0,0.9796095770120079,0,affiliate,1.0105963197673344,1.0068967777689224,0,0,0.44272593218642575,4.99,220,1
3/22/24,SKU0001,23,1003.26,23074.98,0,0.0316,3,12,4,0,0,0,summer,0,1.0140801282233358,0,paid,0.9781590885642867,1.0083685215479152,0,1,0.34316291901256313,4.99,220,64
3/23/24,SKU0001,31,979.23,30356.13,0,0.0548,3,12,5,1,0,0,summer,1,1.2290430602701121,1,affiliate,1.052755282406529,0.9699009693826225,0,1,0.3450569881610639,4.99,220,5
3/24/24,SKU0001,29,992.9,28794.1,0,0.0416,3,12,6,1,0,0,summer,1,1.1321823952088217,1,affiliate,1.0644312561033729,1.0086174821528713,0,1,0.3359740071258062,4.99,220,18
3/25/24,SKU0001,39,849.83,33143.37,1,0.1797,3,13,0,0,0,1,summer,0,0.8983417829281246,2,paid,0.983820329,0.9865028413506635,0,0,0.41114086372289915,4.99,220,106
3/26/24,SKU0001,30,960.79,28823.7,0,0.0726,3,13,1,0,0,1,summer,0,0.5852556660466244,0,affiliate,0.9752419444566564,0.9853178541555758,1,0,0.4395945148165146,4.99,220,25
3/27/24,SKU0001,42,592.28,24875.76,1,0.4283,3,13,2,0,0,1,summer,0,1.1342205066595346,2,organic,0.9980582047485097,1.0057694673767565,0,1,0.4042525947560042,4.99,220,100
3/28/24,SKU0001,42,651.23,27351.66,1,0.3714,3,13,3,0,0,1,summer,0,1.1145864291156924,2,paid,0.9849668141484099,1.0557184962566915,0,0,0.39940610871600835,4.99,220,66
3/29/24,SKU0001,31,961.2,29797.2,0,0.0722,3,13,4,0,0,1,summer,1,1.0248267291571862,0,affiliate,1.001094442936522,0.9662506517470552,0,0,0.3382625251228676,4.99,220,27
3/30/24,SKU0001,27,980.68,26478.36,0,0.0534,3,13,5,1,0,1,summer,0,0.9162713846536366,0,affiliate,1.0273296947260362,0.9592827243260607,0,0,0.388225016,4.99,220,83
3/31/24,SKU0001,38,641.08,24361.04,1,0.3812,3,13,6,1,0,1,summer,0,1.239761175898524,0,paid,1.0768924763447094,1.0020643620134537,0,1,0.4053702896584536,4.99,220,45
4/1/24,SKU0001,31,944.62,29283.22,0,0.0882,4,14,0,0,0,1,summer,0,0.7319182202328084,1,organic,1.008140064348978,0.9600593475427988,0,0,0.426615511,4.99,220,93
4/2/24,SKU0001,28,1016.94,28474.32,0,0.0184,4,14,1,0,0,1,summer,0,0.8823432487050896,1,organic,0.9577179420775906,0.9971356717612168,0,0,0.3676590004295375,4.99,220,52
4/3/24,SKU0001,43,623.57,26813.51,1,0.3981,4,14,2,0,0,1,summer,0,0.7800482070271726,2,affiliate,1.0436960467888288,0.9582737349986021,0,0,0.3925308946560567,4.99,220,60
4/4/24,SKU0001,27,987.31,26657.37,0,0.047,4,14,3,0,0,1,summer,1,1.0556960639977253,0,affiliate,0.9750329898679191,1.008993518446624,0,0,0.46419200563824503,4.99,220,27
4/5/24,SKU0001,31,964.21,29890.51,0,0.0693,4,14,4,0,0,1,summer,0,0.9300186222397705,0,organic,0.9898620398771317,0.9988222028777469,1,0,0.30977156121478466,4.99,220,90
4/6/24,SKU0001,29,969.59,28118.11,0,0.0641,4,14,5,1,0,1,summer,0,1.316678556956135,0,organic,1.0845229452212035,0.9814548669009696,0,0,0.38428221277929747,4.99,220,33
4/7/24,SKU0001,29,1018.91,29548.39,0,0.0165,4,14,6,1,0,1,summer,0,1.0026709648497787,1,organic,1.026185879297782,1.024306821154733,0,0,0.35161706411342397,4.99,220,117
4/8/24,SKU0001,25,943.69,23592.25,0,0.0891,4,15,0,0,0,0,summer,0,0.9641789493111256,0,organic,1.0618494904753875,1.0038003140454244,0,0,0.367794693,4.99,220,64
4/9/24,SKU0001,23,1008.24,23189.52,0,0.0268,4,15,1,0,0,0,summer,0,1.0859050600965847,0,organic,0.9302063903920345,1.0125735586763884,0,0,0.3905529260454144,4.99,220,55
4/10/24,SKU0001,26,943.8,24538.8,0,0.089,4,15,2,0,0,0,summer,1,0.8901704783546067,0,paid,0.913340376,0.9765248915602301,0,0,0.3736003433624615,4.99,220,67
4/11/24,SKU0001,33,918.93,30324.69,1,0.113,4,15,3,0,0,0,summer,0,0.8374136128313803,2,paid,1.0067102243624442,1.0074593575518513,0,0,0.35792258775736807,4.99,220,79
4/12/24,SKU0001,22,962.55,21176.1,0,0.0709,4,15,4,0,0,0,summer,0,1.0802508960121044,0,affiliate,0.9569331658770736,0.9771775032374651,0,1,0.3809301408227756,4.99,220,45
4/13/24,SKU0001,29,993.52,28812.08,0,0.041,4,15,5,1,0,0,summer,0,0.9266472408085734,0,affiliate,1.0524338923425076,1.0475018670179348,0,0,0.41231988026298133,4.99,220,35
4/14/24,SKU0001,25,1033.41,25835.25,0,0.0025,4,15,6,1,0,0,summer,0,1.146396182,0,organic,1.024721406092311,1.0185046632749715,0,1,0.4838156796341653,4.99,220,25
4/15/24,SKU0001,22,965.97,21251.34,0,0.0676,4,16,0,0,0,0,summer,0,1.0502169939711379,0,paid,0.9909732573365836,1.0036676375896685,0,0,0.41039599570193647,4.99,220,115
4/16/24,SKU0001,25,958.3,23957.5,0,0.075,4,16,1,0,0,0,summer,0,1.017463154503011,0,affiliate,1.0086777730230516,1.0218383424674788,0,0,0.3699210120932988,4.99,220,57
4/17/24,SKU0001,31,998.29,30946.99,0,0.0364,4,16,2,0,0,0,summer,0,1.0102675550214555,0,organic,1.0029917194268934,1.0031851213995486,1,0,0.3375753999994721,4.99,220,2
4/18/24,SKU0001,24,991.66,23799.84,0,0.0428,4,16,3,0,0,0,summer,0,0.987053453,0,paid,0.9923920322967813,0.9964298591728464,0,0,0.43052353471361887,4.99,220,24
4/19/24,SKU0001,25,1015.28,25382,0,0.02,4,16,4,0,0,0,summer,0,1.061129278381321,1,organic,0.9857545577464462,1.0030651852825327,0,0,0.4192871526406525,4.99,220,47
4/20/24,SKU0001,44,592.18,26055.92,1,0.4284,4,16,5,1,0,0,summer,1,0.940416102,1,organic,1.0436120002021894,0.9640890193995079,0,0,0.3701608976642012,4.99,220,20
4/21/24,SKU0001,32,1018.91,32605.12,0,0.0165,4,16,6,1,0,0,summer,0,0.7063442949415335,1,paid,1.0294576234982276,0.9911530773798735,1,0,0.3767204554681792,4.99,220,103
4/22/24,SKU0001,23,1001.19,23027.37,0,0.0336,4,17,0,0,0,0,summer,0,1.0116700144196327,0,organic,1.0353827119075392,1.004503713800229,0,0,0.3519959401672851,4.99,220,84
4/23/24,SKU0001,28,992.59,27792.52,0,0.0419,4,17,1,0,0,0,summer,0,0.9309104303579692,1,affiliate,0.96807513,0.985331958,0,1,0.3855259931251072,4.99,220,63
4/24/24,SKU0001,25,1022.43,25560.75,0,0.0131,4,17,2,0,0,0,summer,0,0.7934619115020258,0,affiliate,1.008250811833619,1.0418471123220672,1,0,0.3112758631567328,4.99,220,74
4/25/24,SKU0001,24,1033.72,24809.28,0,0.0022,4,17,3,0,0,1,summer,0,1.1171027437770025,0,paid,1.009961151166029,0.9927722142856878,0,0,0.3386013218882772,4.99,220,61
4/26/24,SKU0001,25,977.67,24441.75,0,0.0563,4,17,4,0,0,1,summer,0,0.9429631103643346,0,organic,0.9466997560755597,1.0050442225291123,0,0,0.4412784117152957,4.99,220,63
4/27/24,SKU0001,25,960.89,24022.25,0,0.0725,4,17,5,1,0,1,summer,1,0.7382148252261747,0,affiliate,1.0595697505214505,1.0397575367295933,0,0,0.4147620362467855,4.99,220,112
4/28/24,SKU0001,25,1006.99,25174.75,0,0.028,4,17,6,1,0,1,summer,0,0.9887851786132893,0,paid,1.084020204597037,1.0159026876031794,0,0,0.3951970909226488,4.99,220,94
4/29/24,SKU0001,26,965.14,25093.64,0,0.0684,4,18,0,0,0,1,summer,0,0.8987851397220196,0,affiliate,0.9934078395371239,1.0429664342932017,1,0,0.4165098292549637,4.99,220,102
4/30/24,SKU0001,37,731.11,27051.07,1,0.2943,4,18,1,0,0,1,summer,0,0.7447679152478693,1,affiliate,1.0202337208670804,1.0032210172907619,0,0,0.3472316581393555,4.99,220,5
5/1/24,SKU0001,39,690.6,26933.4,1,0.3334,5,18,2,0,0,1,summer,0,1.0468279979512374,2,organic,0.9980056778649782,0.96975929,0,0,0.35999162,4.99,220,48
5/2/24,SKU0001,26,1005.96,26154.96,0,0.029,5,18,3,0,0,1,summer,1,0.8424161363773426,0,organic,1.0048387238920722,0.9503551150325311,0,0,0.39654686,4.99,220,97
5/3/24,SKU0001,28,932.5,26110,0,0.0999,5,18,4,0,0,1,summer,0,1.1077556199130194,1,paid,1.0256434027361323,0.9750166968381456,0,1,0.35011693403082156,4.99,220,67
5/4/24,SKU0001,35,724.79,25367.65,1,0.3004,5,18,5,1,0,1,summer,0,0.8653765838664207,0,organic,1.045002500028831,1.0043051446329645,0,0,0.38348187154083413,4.99,220,104
5/5/24,SKU0001,27,933.75,25211.25,0,0.0987,5,18,6,1,0,1,summer,0,1.146556959,0,organic,1.0669680899305234,1.0187264613457647,0,0,0.4209654510253818,4.99,220,18
5/6/24,SKU0001,26,991.87,25788.62,0,0.0426,5,19,0,0,0,1,summer,0,1.0638135239960211,1,paid,0.9534389637768645,1.019970942972002,0,0,0.44888936589546363,4.99,220,68
5/7/24,SKU0001,28,963.07,26965.96,0,0.0704,5,19,1,0,0,1,summer,0,1.016291484474103,1,paid,1.0030101540262115,0.9733171824519105,0,0,0.4605797957267238,4.99,220,50
5/8/24,SKU0001,41,773.37,31708.17,1,0.2535,5,19,2,0,0,0,summer,0,0.8866246920416841,2,paid,0.9468261184541911,0.986384263,0,0,0.38023583142684014,4.99,220,34
5/9/24,SKU0001,43,685.94,29495.42,1,0.3379,5,19,3,0,0,0,summer,0,1.1357215950091357,1,affiliate,0.9875244284274305,1.0089753352432118,1,0,0.3852072844368141,4.99,220,10
5/10/24,SKU0001,30,1025.02,30750.6,0,0.0106,5,19,4,0,0,0,summer,0,1.075533328845809,1,affiliate,0.979500113,0.9555252357960041,1,0,0.4367474210571114,4.99,220,7
5/11/24,SKU0001,27,976.33,26360.91,0,0.0576,5,19,5,1,0,0,summer,0,0.9456401110234444,0,affiliate,1.0624234393041243,0.9817791394272061,0,0,0.43654606004738883,4.99,220,42
5/12/24,SKU0001,31,996.32,30885.92,0,0.0383,5,19,6,1,0,0,summer,0,1.0870955950745238,0,affiliate,1.0373202749835977,1.0043621880598423,1,0,0.38713124805731625,4.99,220,69
5/13/24,SKU0001,32,894.9,28636.8,1,0.1362,5,20,0,0,0,0,summer,0,0.8461626806440531,1,paid,1.0557866482709444,1.0032612136083292,0,0,0.4011064675538976,4.99,220,90
5/14/24,SKU0001,22,956.02,21032.44,0,0.0772,5,20,1,0,0,0,summer,0,0.8080351218784836,0,affiliate,0.9882038704221336,1.0184774584936118,0,1,0.3835228535056058,4.99,220,105
5/15/24,SKU0001,25,961.41,24035.25,0,0.072,5,20,2,0,0,0,summer,0,0.9856650300768127,0,affiliate,0.9681812556248205,1.0017770102285706,0,0,0.4046884674790312,4.99,220,78
5/16/24,SKU0001,23,991.66,22808.18,0,0.0428,5,20,3,0,0,0,summer,0,1.0106675163439922,0,affiliate,0.9374416866044282,0.9933097440951516,0,0,0.3746676276812505,4.99,220,103
